ID	Moka Menu Bar	Selected Control	Parameter	Note
105	Summaries	Unauthorised patients	570 UnreportedArrayPatients	-
106	Summaries	Incomplete patients	561 NotAllChecked	-
107	Summaries	Hybridising patients	571 HybridisingPatients	-
108	Summaries	#DIVIDER LINE	-	-
109	Summaries	Completed service arrays	700 OligoArraysAudit	-
110	Summaries	Prenatal arrays	7020 Prenatals	-
111	Summaries	Array PGD results	7030 PGD	-
112	Summaries	#DIVIDER LINE	-	-
113	Summaries	Common non-DGV hits (general referrals)	556 CommonNonDGVHits	-
114	Summaries	All detected imbalance by chr	s09_PreviousByChr	-
115	Summaries	Find patient by result	0161 FindPatientByResult	-
116	Summaries	#DIVIDER LINE	-	-
117	Summaries	BAC array patients	978 BACPatients	-
118	Summaries	#DIVIDER LINE	-	-
119	Summaries	DMD patients	1600 DMDPatients	-
120	Stats	Rushes with unauthorised reports	97041 RushesDaysOld	-
121	Stats	Postnatals with unauthorised reports	97042 PostnatalDaysOld	-
122	Stats	#DIVIDER LINE	-	-
123	Stats	Referrals in / Reports out	97014 gOPMS	-
124	Stats	"- just in/out table"	97015 OPMS	-
125	Stats	Abnormality rate	97020 gOPMS	-
126	Stats	"- just abn rate table"	97021 OPMS	-
127	Stats	Reporting times	97018 gOPMS	-
128	Stats	"- just reporting table"	97019 OPMS	-
129	Stats	xPrenatal only reporting times (table)	97511 PrenatalTATTable	-
130	Research	Amnios	4020 Amnios	-
131	Research	#DIVIDER LINE	-	-
132	Research	Update pathogenicity	4030 Update pathogenicity first tests	-
133	Research	First line tests with size	4040 FirstLineTestsWithSize	-
134	Research	Phenotypes	751 C_Phenotypes	-
135	Research	London dysmorphology	4015 LonDys	-
136	Research	#DIVIDER LINE	-	-
137	Research	Inherited imbalance genes	task_gh_CO	-
138	Research	#DIVIDER LINE	-	-
139	Research	Unclassified autism hits	7001 AutSpecStringMatches	-
140	Research	Autism hits of interest	7002 AutSpecStringMatchesClassified	-
141	Research	#DIVIDER LINE	-	-
142	Research	Cancer watchlist hg19	4003 CancerwatchlistHg19	-
143	Research	Cancer watchlist hits hg19	4004 CancerGeneHitsHg19	-
144	Reference	Find RefSeq gene	4010 RefSeqGenes	-
145	Reference	Syndromes	4501 Syndromes	-
146	Reference	DGV genome browser	471 DGVGenomeBrowser	-
147	Reference	UCSC genome browser	4713 UCSCGenomeBrowser	-
148	Reference	Convert genomic coordinates	4712 Liftover	-
149	Reference	Cyto band positions	450 CytoBands	-
150	Reference	BlueFish probes	4734 BlueFish	-
151	Reference	Mosaicism calculator	4741 openmoscalc	-
152	Reference	#DIVIDER LINE	-	-
153	Reference	MLPA and QF-PCR positions	372 MLPAProbePositions	-
154	Reference	#DIVIDER LINE	-	-
155	Reference	Interpretation reporting guidelines	4733 BaristaInterpretation	-
156	Reference	Barista documentation system	472 Barista	-
157	Reference	Google calendar	4732 GoogleCalendar	-
158	Reference	GitHub	4739 GitHubIssues	-
159	Reference	#DIVIDER LINE	-	-
160	Reference	Meeting minutes (current)	4736 Minutes	-
161	Reference	Archived meeting minutes	4738 MinutesArchive	-
162	Reference	Tech summary	4746 MinutesTechSummary	-
163	Reference	Checker's summary	4744 MinutesCheckSummary	-
164	Reference	Authoriser's summary	4745 MinutesAuthSummary	-
165	Reference	Add agenda item	4737 AddAgenda	-
166	NGS	NGS panels	87000 NGSPanels	-
167	NGS	#DIVIDER LINE	-	-
168	NGS	Order exome test	87010 ExomePatients	-
169	NGS	Approve exome tests (external)	87017 Exome_External_approvalform	-
170	NGS	Check exome status	87018 ExomeStatus	-
171	NGS	WES dashboard	87020 ExomeLab	-
172	NGS	#DIVIDER LINE	-	-
173	NGS	Import primers	61001_ImportPrimers	-
174	NGS	Find primer for coordinate	61002_FindPrimerByCoord	-
175	NGS	Find primer by Fragment ID	61006_FindPrimerByID	-
176	NGS	Order primers	61003_ViewAllAwaitingOrdering	-
177	NGS	Primer test results	61004_ViewAllAwaitingTesting	-
178	NGS	All approved primers	61005_ViewAllApproved	-
179	NGS	Reset primer status	61011_reset_status	-
180	PGD	Array PGD results	7030 PGD	-
181	PGD	WGA setups	70301 PGD WGA	-
182	PGD	FISH COD	70303 COD	-
183	PGD	#DIVIDER LINE	-	-
184	PGD	EvE on whole run	2021 EveRunNumber	-
185	PGD	Run EvE manually	2022 EvEManual	-
186	PGD	#DIVIDER LINE	-	-
187	PGD	PGD case view	091 PGDChecking	-
188	NIPT	Add samples	69001 NIPTSamplesAdd	-
189	NIPT	Edit samples	69002 NIPTSamplesEdit	-
190	QF-PCR	Ongoing QF-PCR	7600 OngoingQFPCR	-
191	QF-PCR	Prenatal QF-PCRs, incomplete	02510 DaybookPCRs	-
192	QF-PCR	Prenatal QF-PCRs, not fully booked into Moka	02511 DaybookPCRsAll	-
193	QF-PCR	#DIVIDER LINE	-	-
194	QF-PCR	Add QF-PCR primer	367 AddProbe	-
195	QF-PCR	QF-PCR primer details	366 ProbeDetails	-
196	QF-PCR	QF-PCR primer positions	368 PCRProbePositions	-
197	QF-PCR	#DIVIDER LINE	-	-
198	QF-PCR	Add error	294 AddPCRError	-
199	QF-PCR	Show errors	295 ShowPCRErrors	-
200	Tissues	Add error	292 AddTissuesError	-
201	Tissues	Show errors	293 ShowTissuesErrors	-
202	Oncology	Specimens	87026 OncologyAddEK	-
203	Audits	OPMS/Activity audits	-	SUB-MENU
204	Audits | OPMS/Activity audits	OPMS folder	4747 openfolderOPMSnew	-
205	Audits | OPMS/Activity audits	#DIVIDER LINE	-	-
206	Audits | OPMS/Activity audits	Constitutional FISH	85200 ActivityPCRMLPAFISHByTime	-
207	Audits | OPMS/Activity audits	Constitutional FISH - spec numbers	85201 ActivityPCRMLPAFISHByTimeIndividual	-
208	Audits | OPMS/Activity audits	#DIVIDER LINE	-	-
209	Audits | OPMS/Activity audits	Prenatal quality	96530 PrenatalQuality	-
210	Audits | OPMS/Activity audits	Prenatal reporting times	96531 ReportingTimes	-
211	Audits | OPMS/Activity audits	#DIVIDER LINE	-	-
212	Audits | OPMS/Activity audits	POC - unauthorised tissues	96514 UnauthorisedPOC	-
213	Audits | OPMS/Activity audits	POC -authorised tissues	96515 AuthorisedPOC	-
214	Audits | OPMS/Activity audits	POC - repeat arrays	96518 POCsAndRepeats	-
215	Audits | OPMS/Activity audits	POC quality	96532 POCQuality	-
216	Audits | OPMS/Activity audits	POC reporting times	96533 POCReportingTimes	-
217	Audits | OPMS/Activity audits	#DIVIDER LINE	-	-
218	Audits | OPMS/Activity audits	Oncology - samples	83000 OncologyOMPSSample	-
219	Audits | OPMS/Activity audits	OncoloOncology - authorised reports by sample type	83001 OncologyOPMSAuthorisedBySampleType	-
220	Audits | OPMS/Activity audits	#DIVIDER LINE	-	-
221	Audits | OPMS/Activity audits	Dev Disorders OPMS	s_OPMS_98030_MonthlyOPMS	-
222	Audits	Billing audits	-	SUB-MENU
223	Audits | Billing audits	Array fail reports (last 100 days)	85001 FailedArrays	-
224	Audits	Reporting audits	-	SUB-MENU
225	Audits | Reporting audits	Authorised reports - date range	85100 CytoAuthorisedReportsByDate	-
226	Audits	Office audits	-	SUB-MENU
227	Audits | Office audits	Export to cyto but not in Moka (last 2 weeks)	85003 ExportToCytoNotInMoka	-
228	Audits 	Lab audits	-	SUB-MENU
229	Audits | Lab audits	Array DLRS (last 2000)	98431 DLRS	-
230	Audits | Lab audits	Belfast referrals	98432 BelfastReferrals	-
231	Audits	Office Links	-	SUB-MENU
232	Audits | Office Links	&Merge It with Microsoft Office Word	-	Standard MS Access menu item
233	Audits | Office Links	&Publish It with Microsoft Office Word	-	Standard MS Access menu item
234	Audits | Office Links	&Analyze It with Microsoft Office Excel	-	Standard MS Access menu item
235	Housekeeping	Archived	-	SUB-MENU
236	Housekeeping | Archived	FISH	-	SUB-MENU
237	Housekeeping | Archived | FISH	Add FISH error	296 AddFISHError	-
238	Housekeeping | Archived | FISH	FISH errors	297 ShowFISHError	-
239	Housekeeping | Archived | FISH	Add PGD error	298 AddPGDError	-
240	Housekeeping | Archived | FISH	PGD errors	299 ShowPGDError	-
241	Housekeeping | Archived	Other Tests	-	SUB-MENU
242	Housekeeping | Archived | Other Tests	FISH development probes	381 FISHDevelopmentProbes	-
243	Housekeeping | Archived | Other Tests	List FISH probes	38 FISH Probes	-
244	Housekeeping | Archived | Other Tests	FISH tests pending	87 FISH pending	-
245	Housekeeping | Archived | Other Tests	Add FISH probe	361 Add FISH probes	-
246	Housekeeping | Archived | Other Tests	FISH probes to order	39 FISH Probes to Order	-
247	Housekeeping | Archived	MLPA	-	SUB-MENU
248	Housekeeping | Archived | MLPA	Unchecked MLPA requests	672 MRequestsToCheck	-
249	Housekeeping | Archived | MLPA	Ready to run MLPA	681 CustomMLPAActiveWithProbes	-
250	Housekeeping | Archived | MLPA	Ongoing MLPA	685 CustomMLPAOngoing	-
251	Housekeeping | Archived | MLPA	#DIVIDER LINE	-	-
252	Housekeeping | Archived | MLPA	Training log (MLPA)	461 TrainingLogMLPA	-
253	Housekeeping | Archived | MLPA	#DIVIDER LINE	-	-
254	Housekeeping | Archived | MLPA	OPMS	-	SUB-MENU
255	Housekeeping | Archived | MLPA | OPMS	New probe custom requests	97501 MOPMS	-
256	Housekeeping | Archived | MLPA | OPMS	Existing probe custom requests	97502 MOPMS	-
257	Housekeeping | Archived | MLPA | OPMS	Probe delivery	97503 MOPMS	-
258	Housekeeping | Archived | MLPA | OPMS	FP results	97504 MOPMS	-
259	Housekeeping | Archived | MLPA | OPMS	FS results	97505 MOPMS	-
260	Housekeeping | Archived | MLPA | OPMS	New probe tests complete	97506 MOPMS	-
261	Housekeeping | Archived | MLPA | OPMS	Existing probe tests complete	97507 MOPMS	-
262	Housekeeping | Archived | MLPA | OPMS	New probes TAT	97508 MOPMS	-
263	Housekeeping | Archived | MLPA | OPMS	Existing probes TAT	97509 MOPMS	-
264	Housekeeping | Archived	Probes	-	SUB-MENU
265	Housekeeping | Archived | Probes	MLPA probe details	376 MLPAProbeDetails	-
266	Housekeeping | Archived | Probes	Add MLPA probe	377 AddMLPAProbe	-
267	Housekeeping | Archived | Probes	#DIVIDER LINE	-	-
268	Housekeeping | Archived | Probes	Custom probe usage	3750 CustomProbesUsed	-
269	Housekeeping | Archived | Probes	#DIVIDER LINE	-	-
270	Housekeeping | Archived | Probes	Probes to design	633 CustomMLPAProbesRequired	-
271	Housekeeping | Archived | Probes	Probes to order	712 CustomMLPAToOrder	-
272	Housekeeping | Archived | Probes	Probes not received	710 CustomMLPANotReceived	-
273	Housekeeping	Array inventory	30 Inventory Arrays	-
274	Housekeeping	#DIVIDER LINE	-	-
275	Housekeeping	Print labels	905 LabelPrinting	-
276	Housekeeping	#DIVIDER LINE	-	-
277	Housekeeping	Service log	470 ServiceLog	-
278	Housekeeping	Monitor log	820 MonitorLog	-
279	Housekeeping	Training log	460 TrainingLog	-
280	Housekeeping	All training logs	462 AllTrainingLogs	-
281	Housekeeping	#DIVIDER LINE	-	-
282	Housekeeping	Maintenance	-	SUB-MENU
283	Housekeeping | Maintenance	Spec2array	task_spec2array	-
284	Housekeeping | Maintenance	Update Kary	task_updatekary	-
285	Housekeeping | Maintenance	Benign imbalance vs pheno	task_benign_commonpheno	-
286	Housekeeping | Maintenance	Benign genehunt check	task_benign_gh_check	-
287	Housekeeping | Maintenance	Update inheritance 2	task_inheritance2	-
288	Housekeeping | Maintenance	Update inheritance	task_inheritance1	-
289	Housekeeping | Maintenance	Genehunt check	task_gh_check	-
290	Housekeeping | Maintenance	Benign CNV Genehunt	task_benign_gh	-
291	Housekeeping | Maintenance	Copies task	task_copies_ala	-
292	Housekeeping | Maintenance	Confirmed to Followup check	task_confirmed_check	-
293	Housekeeping | Maintenance	Confirmed 2 Followup	task_confirmed	-
294	Housekeeping | Maintenance	Imb Hyb IDs check	task_imbalancehybid_check	-
295	Housekeeping | Maintenance	Imb Hyb IDs	task_imbalancehybid	-
296	Housekeeping | Maintenance	HybIDs 3	task_hybIDs	-
297	Housekeeping | Maintenance	HybIds 3 check	task_hybIDs_check	-
298	Housekeeping | Maintenance	HybIDs 5	task_hybIDs5	-
299	Housekeeping | Maintenance	Gene hunt	task_gh_genehunt	-
300	Housekeeping | Maintenance	LabellingID task	task_labellingid	-
301	Housekeeping | Maintenance	LabellingID task check	task_la_check	-
302	Housekeeping | Maintenance	LabellingID task - cy5	task_labellingid5	-
303	Housekeeping | Maintenance	#DIVIDER LINE	-	-
304	Housekeeping | Maintenance	GuysDec19	7006 GuysDec19	-
305	Housekeeping | Maintenance	GuysInc19	7007 GuysInc19	-
306	Housekeeping | Maintenance	#DIVIDER LINE	-	-
307	Housekeeping | Maintenance	GuysDecBED19	7008 GuysDecBED19	-
308	Housekeeping | Maintenance	GuysIncBED19	7009 GuysIncBED19	-
309	Housekeeping | Maintenance	Delete M probe	373001 DeleteProbes	-
310	Housekeeping | Maintenance	Patients merged in Geneworks	475 GeneWorksMerged	-
